Theater,TheaterLabel,Sitz,SitzLabel
http://www.wikidata.org/entity/Q897900,Brandenburger Kulturstadl,http://www.wikidata.org/entity/Q3923,Bayreuth
http://www.wikidata.org/entity/Q120730912,Theatergesellschaft Bad Endorf,http://www.wikidata.org/entity/Q251462,Bad Endorf
http://www.wikidata.org/entity/Q122798110,1. Burschenschaft Eschenau 1977,http://www.wikidata.org/entity/Q504334,Lauf an der Pegnitz
http://www.wikidata.org/entity/Q122798112,1. Seniorentheater Nürnberg Tempo 100,http://www.wikidata.org/entity/Q2090,Nuremberg
http://www.wikidata.org/entity/Q122798113,Agnes-Bernauer-Festspielverein Straubing,http://www.wikidata.org/entity/Q7027,Straubing
http://www.wikidata.org/entity/Q122798115,Aichacher Volkstheater,http://www.wikidata.org/entity/Q1796912,Kühbach
http://www.wikidata.org/entity/Q122798116,Alfeld-macht-Theater,http://www.wikidata.org/entity/Q574455,Alfeld
http://www.wikidata.org/entity/Q122798118,Alles Möglich(e) Theater,http://www.wikidata.org/entity/Q804782,Baldham
http://www.wikidata.org/entity/Q122798119,Allgäuer Theaterkästle Altusried,http://www.wikidata.org/entity/Q446342,Altusried
http://www.wikidata.org/entity/Q122798120,Allmächd Knud,http://www.wikidata.org/entity/Q2090,Nuremberg
http://www.wikidata.org/entity/Q122798122,Altmühlbühne Riedenburg,http://www.wikidata.org/entity/Q503693,Q503693
http://www.wikidata.org/entity/Q122798126,Altmühltal Bühne,http://www.wikidata.org/entity/Q252772,Eichstätt
http://www.wikidata.org/entity/Q122798127,Altmühltaler Laienbühne Walting,http://www.wikidata.org/entity/Q629503,Walting
http://www.wikidata.org/entity/Q122798129,Amateurtheater Marktredwitz,http://www.wikidata.org/entity/Q253371,Mitterteich
http://www.wikidata.org/entity/Q122798130,Ammerseer Bauerntheater Herrsching,http://www.wikidata.org/entity/Q170020,Herrsching am Ammersee
http://www.wikidata.org/entity/Q122798131,ANTHA Alt- Neuöttinger Theater Amateure,http://www.wikidata.org/entity/Q262669,Burghausen
http://www.wikidata.org/entity/Q122798132,Anzinger Theaterverein,http://www.wikidata.org/entity/Q522378,Anzing
http://www.wikidata.org/entity/Q122798134,Arbeiterver. Winhöring (kulturell) Hofmarkbühne Winhöring,http://www.wikidata.org/entity/Q265381,Winhöring
